Views,Watch time (hours),Likes,Dislikes,Subscribers gained,YouTube ad revenue (TWD)
15377,1680.9738,277,9,39,2390.832
15255,1774.1804,236,15,38,3391.517
14561,2121.983,221,8,28,3731.2
14400,1531.4891,712,16,36,3429.7
14236,1600.2969,241,5,42,1589.634
13569,1586.9198,192,14,59,2739.819
13369,1529.6034,206,7,51,1301.644
13280,1350.8324,214,13,25,2868.319
13069,1507.1858,201,8,19,3793.476
13050,1569.005,204,20,21,3392.243
12966,939.1705,220,2,61,1376.961
12771,1321.9763,322,18,31,658.507
12631,1720.0747,209,7,23,3424.396
12419,1202.1015,198,10,23,2882.695
12183,1127.9409,207,8,21,2007.652
11986,1168.6829,170,7,34,2408.98
11947,1309.1043,171,8,59,1447.034
11719,934.5455,188,5,39,1343.362
11641,1211.2794,253,15,27,1316.623
11554,1042.3004,206,7,30,1928.335
10488,1100.0672,205,11,24,2874.044
10484,1145.7986,170,2,22,1615.114
10139,1156.5231,277,10,25,2751.602
9933,852.6378,149,4,16,1303.936
9891,1033.5419,221,7,28,1611.197
9522,928.0817,235,6,17,1904.732
9511,830.2615,223,6,21,2149.112
9420,743.4542,181,8,25,1182.727
9264,1014.1943,165,7,16,2705.953
9214,734.5196,161,3,8,1613.545
8687,947.6196,154,7,18,2206.3
8534,594.3036,122,6,12,1454.513
8524,741.4862,174,3,17,1853.074
8395,749.9791,235,7,8,1233.353
8338,963.4412,156,4,14,1003.319
8285,822.2466,148,10,14,2124.297
8146,656.9761,120,3,15,1296.188
8145,728.0818,139,0,12,2004.432
8083,851.0699,168,5,15,2402.225
7632,610.9304,113,4,9,1059.281
7186,841.2905,114,5,8,1411.902
7183,649.7622,123,7,16,571.974
7169,683.8225,111,9,19,980.842
6892,708.0856,115,2,4,1860.056
6787,653.303,152,4,22,902.38
6661,633.1664,184,7,15,940.699
6632,770.192,140,9,24,725.843
6475,435.0474,69,2,11,717.685
6167,515.9216,112,3,11,956.538
6060,551.0605,119,1,5,956.554
6023,612.3822,136,3,7,1537.749
5857,449.668,129,6,5,317.315
5742,533.4461,165,3,12,669.462
5726,804.0093,110,4,5,1115.249
5420,400.7346,92,14,3,942.896
5298,317.3352,72,4,18,919.483
4637,510.8445,99,4,12,587.79
4456,491.87,85,4,7,511.24
4306,187.9705,309,2,15,308.095
4253,130.3823,85,0,5,187.779
4074,431.0494,96,1,9,346.52
4045,358.9126,100,3,7,309.853
4034,410.3557,77,1,8,503.138
3632,472.0128,76,4,4,306.802
3557,350.9791,75,2,1,229.063
5662,598.0434,140,9,21,379.247
